Classifier,Cell_Type_1,Cell_Type_2,Correlation,P_value,Correlation_Variance,CV_Cell_Type_1,CV_Cell_Type_2,FDR_corrected_pvalue
Fast,Basophils,Plasmacytoid Dendritic cells,0.2833333333333333,9.64783808399261e-13,0.0,0.5220159385187412,0.44866367643496735,1.7648484299986484e-12
Fast,Basophils,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,-0.04999999999999989,0.2202863591873987,4.863459455523323e-35,0.5220159385187412,0.9237500679855754,0.24476262131933188
Fast,Basophils,Regulatory T cells,0.5,0.0,0.0,0.5220159385187412,1.4451019580649032,0.0
Fast,Basophils,TCRγδ T-cell,0.3500000000000001,0.0,1.2450456206139707e-32,0.5220159385187412,0.875733529585747,0.0
Fast,Basophils,Terminal Effector CD4+ T cells,-0.0833333333333333,0.04075771521047389,0.0,0.5220159385187412,1.131099819448879,0.048909258252568664
Fast,Basophils,Terminal Effector CD8+ T cells,-0.3333333333333334,0.0,1.2450456206139707e-32,0.5220159385187412,1.0528153739767316,0.0
Fast,Basophils,Th1/Th2-like T cells,0.4166666666666666,0.0,0.0,0.5220159385187412,0.5070853226042543,0.0
Fast,Basophils,Transitional Monocytes,0.7166666666666667,0.0,0.0,0.5220159385187412,0.3602018691989214,0.0
Fast,Basophils,Transitional/activated B cells,-0.0167365481751144,0.6818071832123125,0.0,0.5220159385187412,1.0969764604362944,0.7041893244963716
Fast,Central Memory and Effector Memory CD4+ T cells,Central Memory and Effector Memory CD8+ T cells,0.15,0.000213763745231077,0.0,0.3816724709458864,0.588977698000442,0.00028757454515391525
Fast,Central Memory and Effector Memory CD4+ T cells,Classical Monocytes,0.18333333333333332,5.570092312945363e-06,7.781535128837317e-34,0.3816724709458864,0.322539260876773,7.88220610322457e-06
Fast,Central Memory and Effector Memory CD4+ T cells,Eosinophils,0.6500000000000001,0.0,1.2450456206139707e-32,0.3816724709458864,0.8533588143356079,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Innate Lymphoid Cell Precursors,-0.26666666666666655,2.1749935186221592e-11,3.112614051534927e-33,0.3816724709458864,2.1510088216297443,3.7499888252106194e-11
Fast,Central Memory and Effector Memory CD4+ T cells,Low density Neutrophils,-0.2833333333333333,9.64783808399261e-13,0.0,0.3816724709458864,1.2153080008256492,1.7648484299986484e-12
Fast,Central Memory and Effector Memory CD4+ T cells,MAIT/NKT-like cells,-0.18333333333333332,5.570092312945363e-06,7.781535128837317e-34,0.3816724709458864,0.8509500015214381,7.88220610322457e-06
Fast,Central Memory and Effector Memory CD4+ T cells,Memory B cells,0.2524126011357618,2.62601940193008e-10,0.0,0.3816724709458864,4.936668335051579,4.501747546165851e-10
Fast,Central Memory and Effector Memory CD4+ T cells,NK cell,-0.39999999999999986,0.0,3.112614051534927e-33,0.3816724709458864,0.5405390684327066,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Naive B cells,0.0833333333333333,0.04075771521047389,0.0,0.3816724709458864,0.38561806122690506,0.048909258252568664
Fast,Central Memory and Effector Memory CD4+ T cells,Naive CD4+ T cells,0.9333333333333336,0.0,1.1205410585525737e-31,0.3816724709458864,0.5118875243840818,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Naive CD8+ T cells,0.15,0.000213763745231077,0.0,0.3816724709458864,0.7128846559749665,0.00028757454515391525
Fast,Central Memory and Effector Memory CD4+ T cells,Neutrophils,-0.7833333333333333,0.0,0.0,0.3816724709458864,0.0877853117203214,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Non-Classical Monocytes,0.3833333333333333,0.0,0.0,0.3816724709458864,0.4851705394233283,0.0
Fast,Central Memory and Effector Memory CD4+ T cells,Plasmablast B cells,-0.033333333333333305,0.4140431958714845,4.863459455523323e-35,0.3816724709458864,1.2120869810854338,0.43736957310368085
Fast,Central Memory and Effector Memory CD4+ T cells,Plasmacytoid Dendritic cells,0.4166666666666666,0.0,0.0,0.3816724709458864,0.44866367643496735,0.0
